2561	10762	1034	3090	971	140	1	9487	1456	1153	1040	365	1693	645	1014	55	30	129	424	198	46	408	127	278	199	122	76	305	161	148	381	18	86	19	195	58	74	49	171	6	45	35	4	21	93	67	95	32	29	58	60	1	18	4	156	36	32	6	5	28	13	22	65	21	2	3	50	116	0	47	52	6	0	7	2	40	15	13	41	8	32	7	11	1	17	10	13	10	24	20	17	37	10	28	9	1	39	44	1	13	2	32	2	6	1	7	69	1	3	3	14	5	2	45	14	3	2	14	0	8	0	1	12	15	12	30	4	5	19	10	22	3	3	3	14	7	4	7	1	13	35	0	4	0	2	6	2	16	2	2	7	1	3	1	0	0	0	17	9	21	5	22	1	10	10	10	4	1	0	4	3	1	11	9	16	9
13247	56659	5327	16194	5002	686	14	49613	7804	5920	5335	1948	8458	3373	5458	237	139	600	2196	1063	236	2179	543	1427	1137	589	364	1455	842	677	2067	121	443	69	1046	275	290	297	921	44	181	187	37	84	513	293	520	135	80	320	254	24	114	28	734	155	160	52	16	181	64	100	380	117	12	13	291	568	3	292	274	35	15	52	30	257	82	82	274	53	170	43	61	8	105	86	55	76	160	76	57	240	77	132	51	18	176	164	6	82	4	164	17	68	3	52	325	10	19	13	73	40	7	174	58	34	19	66	1	79	2	3	68	54	56	172	31	21	120	19	92	3	28	23	83	61	10	43	14	87	152	1	25	0	24	27	4	72	22	22	44	6	18	23	2	11	14	66	45	123	15	96	15	54	61	42	17	0	1	30	17	3	41	47	80	33
1428	6151	574	1823	522	67	2	5344	815	644	577	216	963	348	567	32	8	75	241	123	15	238	64	161	115	57	41	176	80	81	230	9	39	7	121	33	29	33	99	6	20	25	5	7	52	28	60	19	17	40	24	4	10	3	99	13	20	3	3	22	9	14	41	15	0	2	34	53	2	27	28	3	0	5	8	22	9	8	26	1	13	5	3	1	10	6	9	7	20	7	8	24	11	14	5	3	21	10	0	9	0	16	3	10	2	3	34	2	3	2	7	5	1	11	7	7	3	11	0	7	0	1	7	4	8	11	7	3	11	4	10	0	5	0	8	12	1	4	0	7	19	1	2	0	3	5	1	5	2	3	5	2	2	4	0	1	0	8	3	14	6	5	2	6	4	9	1	0	1	4	4	0	7	5	14	3
2433	10252	954	3023	921	116	3	9085	1479	1146	998	320	1602	599	966	49	15	101	368	169	41	399	96	276	204	114	78	308	160	137	372	10	83	10	193	65	59	54	171	3	32	46	5	16	90	54	112	37	19	61	32	4	33	5	161	25	31	12	2	36	13	16	71	12	3	2	64	101	4	40	48	5	3	6	3	49	13	22	35	13	29	10	7	1	22	16	7	13	27	20	17	46	12	30	6	2	30	33	4	18	0	27	2	10	0	14	61	0	2	1	9	7	6	33	9	5	3	10	0	7	0	4	17	7	12	32	6	6	29	4	21	0	4	5	11	11	4	10	7	9	28	0	8	0	9	8	0	10	5	5	12	1	4	4	0	5	2	11	7	10	6	20	1	10	9	9	1	1	1	2	7	0	4	15	13	12
2156	8935	815	2522	776	98	3	7539	1279	930	822	293	1324	520	868	42	22	101	314	156	35	316	95	231	183	99	58	232	116	125	312	9	65	7	169	48	62	47	150	5	27	33	4	9	61	45	90	20	10	52	39	3	12	2	125	23	19	6	3	36	8	11	56	18	2	3	48	87	1	46	54	7	1	12	3	41	15	10	40	2	27	12	4	2	18	14	14	14	30	9	14	40	14	21	6	1	27	25	3	8	1	27	4	11	0	11	55	1	0	4	9	7	3	29	15	3	3	11	1	11	0	1	6	9	9	31	4	3	24	1	15	2	4	0	18	12	0	7	0	11	30	0	3	0	5	6	2	16	3	0	7	1	1	2	0	1	1	9	4	16	1	16	2	5	9	10	3	1	0	3	1	0	7	5	7	8
109	449	42	123	40	6	0	406	65	42	49	13	75	20	36	1	2	3	13	9	1	18	5	9	11	3	2	12	8	13	19	3	6	1	12	1	2	2	7	1	1	2	0	0	3	0	2	0	0	1	5	0	1	0	9	0	0	0	0	4	0	0	4	1	0	0	2	7	0	1	0	0	0	1	1	0	0	0	4	0	1	0	0	1	1	2	2	0	0	0	0	2	0	1	0	0	1	1	0	0	0	3	0	1	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1
145	714	58	209	75	13	0	621	87	74	57	21	124	40	76	7	1	3	29	16	2	22	11	20	14	9	0	23	14	7	21	1	3	2	10	2	5	6	11	1	4	4	0	1	3	3	7	0	2	5	5	1	2	2	8	2	1	0	2	3	3	2	4	1	0	0	2	13	0	4	3	0	0	0	0	1	1	0	3	0	1	0	0	0	3	1	0	1	3	1	1	3	0	3	1	0	0	1	0	2	0	2	1	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	2	0	3	1	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0
1933	8280	815	2444	720	96	4	7360	1091	901	770	266	1175	519	862	26	16	98	304	151	38	315	72	201	146	101	51	222	103	101	310	19	55	5	144	40	35	43	163	6	28	19	8	11	79	40	85	19	14	37	36	9	18	7	118	26	21	5	3	32	13	12	65	19	0	3	40	73	0	37	35	1	0	4	4	40	14	7	37	13	25	3	6	2	18	11	11	10	25	15	10	30	4	28	7	3	27	24	1	8	0	15	3	6	0	10	47	0	3	2	10	5	2	37	14	6	5	7	0	9	0	0	9	8	16	18	2	6	22	0	17	0	4	1	13	6	3	5	1	15	17	0	4	0	3	3	0	11	1	4	7	1	4	2	0	0	0	10	6	9	4	9	0	9	4	4	3	0	0	4	3	0	6	7	14	3
43	168	11	53	20	2	0	158	23	16	14	5	27	11	14	1	1	3	9	3	2	4	3	5	8	3	2	4	3	5	10	0	0	1	7	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	3	0	1	0	0	0	0	1	1	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1615	6765	663	1993	594	70	1	5923	952	756	637	188	1024	372	662	28	9	68	249	111	25	254	76	199	127	72	48	192	78	71	264	15	48	7	128	38	38	38	121	6	22	23	3	9	77	38	58	10	12	45	29	2	18	6	101	16	14	4	7	27	10	14	55	14	0	1	33	86	0	25	21	3	0	5	5	29	12	6	27	5	24	9	3	2	11	6	9	9	21	14	8	25	9	17	4	1	21	26	3	9	0	21	1	7	0	7	34	3	4	1	9	4	1	24	5	1	0	8	0	8	0	2	9	4	7	17	4	2	15	0	11	1	5	4	8	8	1	4	1	5	26	0	4	0	0	4	0	11	1	1	8	0	3	2	0	0	2	4	7	11	2	13	1	10	7	4	1	2	0	1	1	0	6	8	13	1
1642	7302	623	1947	667	85	1	6179	988	725	677	247	1091	406	683	37	21	78	288	139	25	274	62	192	117	93	48	207	104	88	258	15	56	7	133	31	39	36	126	7	20	22	6	13	52	25	58	12	19	54	31	4	19	4	92	17	20	1	1	39	12	10	39	19	3	2	39	85	3	28	26	2	2	7	7	27	12	15	27	3	14	3	3	0	9	4	8	14	12	11	9	19	8	21	9	2	24	25	2	6	0	21	2	13	0	7	42	1	4	3	12	1	3	27	8	4	3	11	0	11	0	1	7	5	4	21	1	4	13	3	10	0	6	3	12	4	1	3	2	8	33	0	2	0	6	2	0	6	1	0	4	1	0	4	0	0	1	2	2	13	3	14	3	9	7	11	2	1	0	2	5	1	2	9	12	6
82	318	26	96	29	5	0	259	33	30	29	8	51	15	30	2	4	2	16	3	1	15	3	6	6	4	4	7	4	4	10	2	3	2	5	0	0	1	4	0	1	0	1	0	5	1	3	2	0	3	0	0	1	1	3	0	0	0	0	1	0	1	0	2	0	0	2	5	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
