6945	9732	1257	940	707	5320	1810	986	1581	3261	487	164	1135	75	1585	468	325	370	736	264	73	402	94	411	11	90	5	152	18	76	18	145	86	213	47	53	121	121	102	25	127	70	94	92	14	9	25	35	30	137	53	59	10	9	28	160	41	83	155	40	31	124	45	55	54	58	45	32	35	51	7	10	57	8	84	13	25	64	113	59	57	72	24	46	13	17	70	74	15	20	8	30	10	14	26	34	36	13	10	2	2	6	8	33	15	10	16	2	1	5	13	14	11	6	24	8	5	9	1	16	2	9	10	43	23	25	39	3	4	29	8	36	12	1	46	14	10	8	15	15	3
2608	3732	484	383	244	1928	678	376	601	1216	185	56	431	30	603	161	138	143	284	104	22	125	33	149	4	26	5	51	8	19	11	48	19	76	22	24	44	43	37	7	44	23	33	34	6	3	7	16	8	42	13	27	2	5	8	53	6	24	52	17	10	54	10	19	24	23	15	13	14	21	2	0	26	2	30	6	10	22	43	13	11	24	11	16	12	4	11	17	5	7	2	3	2	1	6	12	17	4	8	1	0	6	4	17	8	1	10	0	0	5	6	8	5	1	6	2	2	2	0	7	1	7	1	7	4	13	11	3	0	10	1	17	4	2	14	4	5	4	9	3	0
604	848	132	84	71	487	154	82	142	290	45	13	100	4	142	49	26	30	54	27	0	41	10	43	3	4	0	11	2	4	1	9	6	23	6	5	5	5	10	2	12	8	7	10	0	0	0	1	2	14	4	11	1	1	1	19	5	6	17	5	0	13	0	1	5	5	2	3	1	5	0	2	4	2	4	1	1	6	8	1	6	7	1	3	2	4	6	10	0	1	0	4	2	2	4	0	1	1	1	1	1	0	0	0	3	0	6	0	1	0	2	4	2	0	4	1	0	0	0	3	1	2	0	6	1	5	3	1	0	4	2	3	0	1	6	0	0	0	2	0	0
805	1166	147	110	68	616	214	102	189	374	57	18	106	12	193	55	45	50	90	27	6	56	12	52	0	4	0	8	2	5	2	13	10	29	4	6	17	4	10	2	14	3	9	7	1	2	3	3	0	12	4	4	1	3	1	17	5	10	14	4	10	17	3	3	4	8	8	3	6	10	0	0	8	0	11	1	2	4	2	9	8	15	1	3	1	1	7	7	2	2	1	3	1	3	5	1	4	0	1	1	0	1	2	4	3	1	2	0	1	0	3	4	2	1	4	0	1	1	0	2	0	0	0	5	2	4	3	2	0	1	1	6	1	0	6	2	2	1	3	2	0
775	1108	133	115	73	638	198	103	177	384	61	22	130	6	132	55	39	37	92	34	7	41	4	50	1	12	0	14	1	8	4	9	8	26	4	5	14	15	11	3	13	9	9	4	2	0	9	5	6	15	5	7	1	0	5	20	8	6	17	3	8	21	2	2	3	7	4	3	2	9	1	2	12	0	6	1	4	9	12	7	3	8	2	6	2	1	4	6	1	2	1	1	3	2	4	4	3	0	0	0	0	0	0	2	2	1	0	0	1	0	3	7	0	0	1	1	2	1	0	3	0	3	1	4	6	3	7	1	0	3	0	8	0	0	4	2	3	2	3	1	0
220	297	45	27	16	148	50	19	55	95	13	10	39	2	39	10	11	9	25	8	0	12	1	13	0	1	0	8	0	0	0	3	2	6	2	2	5	3	1	0	3	1	3	5	0	0	1	2	0	3	3	1	1	0	2	3	1	1	4	0	0	1	1	1	2	3	1	0	3	1	0	2	1	0	1	0	1	1	6	1	1	1	0	4	1	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	1	0	1	2	0	0	0
116	170	23	13	9	90	38	17	21	54	6	1	12	1	34	5	4	7	14	5	1	8	1	10	0	0	0	2	0	1	0	0	3	0	1	1	2	0	0	0	4	0	1	1	0	0	1	0	0	1	2	0	0	0	0	1	0	4	2	2	1	0	0	0	2	1	0	2	2	0	0	1	2	0	3	0	2	1	4	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
126	170	16	24	13	95	40	18	23	49	12	3	18	0	26	13	8	5	14	6	0	3	2	2	1	1	0	3	0	3	0	1	0	4	0	1	0	2	1	1	5	1	1	1	0	0	0	1	1	2	1	2	0	1	1	2	1	0	1	0	0	1	1	2	0	2	0	0	2	1	0	0	2	0	1	0	0	0	3	0	1	1	1	1	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	1
1801	2493	275	228	190	1313	508	224	392	831	129	35	283	25	416	107	88	71	196	65	12	85	16	111	3	19	3	27	3	14	5	31	18	42	12	13	27	26	21	4	35	15	20	21	2	1	6	8	3	42	13	16	2	4	8	36	11	21	39	5	7	31	14	20	10	9	11	4	11	13	1	6	18	0	25	2	8	13	28	8	7	14	6	5	7	1	11	14	4	3	3	8	4	5	5	10	10	3	1	2	0	0	2	12	5	0	7	1	0	1	1	6	3	2	5	0	0	6	1	7	2	3	1	9	6	6	8	1	0	5	2	6	1	0	8	6	4	4	5	3	1
697	975	134	102	67	540	182	95	168	332	43	25	105	13	159	51	39	39	71	23	6	35	12	37	1	7	0	7	0	10	1	10	10	29	3	6	15	13	9	5	8	9	10	7	1	1	3	3	0	14	3	6	0	2	3	16	0	5	16	3	3	13	4	2	8	3	3	2	0	4	0	1	4	0	7	1	3	5	12	3	1	5	2	8	3	1	8	5	2	3	0	1	2	2	2	2	2	1	2	0	0	0	0	0	4	1	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	1	4	3	3	7	1	0	1	0	1	0	0	4	1	4	1	1	0	0
93	127	15	13	12	59	23	12	23	40	9	1	20	0	14	6	3	5	13	1	1	6	0	5	1	1	0	2	0	1	1	0	0	4	0	1	2	0	2	1	3	0	1	2	1	0	0	0	0	1	1	0	0	0	0	3	0	1	2	0	3	6	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
388	604	88	56	36	317	132	54	114	177	33	12	63	6	94	37	14	28	46	15	1	20	7	30	0	4	1	6	0	4	1	11	4	8	3	0	9	4	4	2	5	3	6	2	2	2	4	2	0	7	3	6	0	0	2	6	0	7	11	4	0	6	0	2	4	4	2	0	0	3	0	0	5	0	6	1	1	0	6	4	4	10	2	3	0	1	4	2	0	1	0	3	1	1	2	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	4	1	0	0	0	2	0	0	0	3	0	2	0	2	6	0	2	0	0	3	0	2	0	0	4	1	0	0	0	1	0
494	731	81	62	56	362	142	75	101	248	37	8	86	5	100	29	21	32	44	15	6	27	7	31	0	7	0	8	2	4	5	10	4	16	4	4	7	2	10	3	12	7	6	7	1	0	2	0	2	7	2	6	0	3	3	11	1	4	14	3	3	8	6	2	4	6	2	1	4	5	0	0	1	0	8	0	0	4	14	4	4	6	0	3	4	0	3	5	0	0	0	1	1	1	4	2	6	1	2	0	0	1	0	2	1	0	4	0	0	1	4	3	1	1	4	0	0	1	0	1	0	0	1	6	1	3	3	0	0	4	1	1	0	0	5	2	1	2	2	2	0
325	478	65	46	37	264	95	46	80	163	26	14	56	3	68	22	17	14	34	17	5	24	5	15	3	4	1	5	0	1	1	5	1	14	2	4	7	5	4	0	6	5	0	2	0	3	1	2	1	10	3	3	0	1	1	9	1	5	9	3	4	11	1	4	2	2	4	1	1	2	0	1	3	0	0	0	1	4	8	6	2	5	2	4	3	0	3	1	0	0	0	0	1	2	1	4	1	0	0	0	0	0	0	3	2	0	1	0	0	0	2	0	0	0	2	0	1	0	0	1	0	0	0	1	3	2	3	0	0	0	1	0	0	0	5	0	2	0	1	1	0
65	97	20	12	6	60	11	9	17	29	3	1	17	1	16	2	2	5	11	2	1	2	4	2	0	0	0	2	0	1	0	1	0	1	1	1	3	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	4	0	0	0	3	0	0	1	0	2	0	0	2	0	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
218	308	44	35	22	167	46	40	59	101	12	3	40	1	47	19	15	13	23	10	2	6	4	12	0	3	0	6	0	2	0	0	1	6	1	1	6	2	2	1	2	1	6	1	1	0	1	0	1	4	2	4	2	1	0	3	1	1	3	2	1	2	1	1	2	0	2	0	0	2	0	0	0	0	2	1	0	1	3	0	3	1	0	0	0	1	2	3	1	0	0	1	0	0	2	1	3	2	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	6	1	1	3	1	0	1	0	0	0
194	253	35	30	20	132	52	29	41	91	14	6	22	0	37	10	8	5	18	8	3	14	3	7	0	2	0	3	0	1	0	3	2	5	1	0	5	6	0	1	1	2	2	4	0	0	0	0	0	3	2	2	0	0	0	5	2	0	1	0	0	1	2	1	5	0	0	0	1	2	1	0	2	1	3	0	1	2	4	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	2	1
