"Year"	"Experiment"	"KSimport"	"KSexport"
1962	1	0.000747962909597777	0.000884704316133744
1962	2	0.0045118151711272	7.13446948130692e-05
1962	3	0.0818740151631394	0.000203805962466608
1962	4	0.00294221684440688	1.32854828349682e-05
1962	5	0.000747962909597777	0.0113667168436484
1962	6	0.00294221684440688	0.000203805962466608
1962	7	0.146140685183113	0.0336425393007291
1962	8	0.00294221684440688	0.000337212898140038
1962	9	0.0215832099547613	0.016553137343626
1962	10	0.000747962909597777	0.000884704316133744
