20;11;15;6;5;-5.41610040220442;-4.72295322164447;-4.02980604108453;-3.33665886052458;-1.72722094809048;-4.31748811353631;-1.0466525497374;-3.95946943965249;2.89231405378845
41;23;31;11;12;-6.86797440897029;-6.86797440897029;-6.17482722841035;-5.07621493974224;-1.79280059373647;-6.17482722841035;-0.930438203887866;-5.81145027069607;3.23227165895151
61;33;54;11;15;-7.97796809312855;-7.2848209125686;-6.36853018069445;-5.26991789202634;-1.848917883068;-6.87935580446044;-1.09143645059804;-6.19782266927963;3.73311468814704
82;39;77;12;15;-8.68761084370737;-7.58899855503926;-6.60816930202753;-5.50955701335942;-1.91453046805183;-7.58899855503926;-1.34677528958409;-6.49321431598982;4.4965869378907
103;49;98;17;17;-9.16993495734114;-8.4767877767812;-7.22402480828583;-6.12541251961772;-2.12241773598385;-8.4767877767812;-1.23470541752424;-7.11515352094925;4.75746256369523
126;57;117;20;20;-9.52434786959551;-8.83120068903557;-7.73258840036746;-6.4333054162372;-2.18676012605692;-8.83120068903557;-1.12323915720008;-7.48692217560449;4.68565581967129
146;66;137;21;22;-9.83996185165625;-9.1468146710963;-7.89405170260094;-6.58186531363477;-2.26335208468321;-9.1468146710963;-1.20108214198341;-7.69899039484973;4.884830412726
167;77;158;24;25;-10.1251900660539;-9.43204288549399;-8.33343059682588;-6.94713623570599;-2.22752191532703;-9.43204288549399;-1.23891916398192;-8.05751263604307;4.96110106124084
188;87;176;26;29;-10.3409679900763;-9.64782080951636;-8.54920852084825;-7.39652901090986;-2.27570278117857;-9.64782080951636;-1.21400922703917;-8.36828044285905;5.04806637357666
208;94;198;26;29;-10.5765340613891;-9.88338688082912;-8.63062391233376;-7.31843752336759;-2.33905477277544;-9.88338688082912;-1.32169844952634;-8.43193143881409;5.36485409306822
229;103;216;27;31;-10.7505568153683;-10.0574096348084;-8.67111527368849;-7.49246027734685;-2.3413943681658;-9.65194452670022;-1.31117034642532;-8.56042809361673;5.39597415372968
250;107;226;27;32;-10.8410699985446;-10.1479228179846;-8.76162845686474;-7.49255287471133;-2.34898950794341;-9.74245770987646;-1.31453298621841;-8.59033284662186;5.39852663645743
270;114;246;28;32;-11.0106630718647;-9.91205078319662;-8.81343849452851;-7.57719642963378;-2.34504987533021;-9.91205078319662;-1.28236258722195;-8.60215625319566;5.39099536674994
291;120;257;29;33;-11.0981521697904;-9.99953988112233;-8.90092759245422;-7.63241626699071;-2.33628879651571;-9.99953988112233;-1.32221393820129;-8.72249299490255;5.53712016208819
311;122;274;29;33;-11.2262562127761;-10.127643924108;-8.92367111978209;-7.67090815128673;-2.31810259945462;-10.127643924108;-1.38549549014832;-8.77722543109291;5.65952102285044
333;125;289;30;34;-11.3328533762249;-10.2342410875568;-9.13562879888864;-7.83634581475838;-2.25798914381113;-10.2342410875568;-1.42592176128618;-8.93594645426142;5.81244932834829
356;133;307;32;35;-11.4536954951744;-10.7605483146144;-9.15111040218035;-7.92733497055823;-2.28981799760855;-10.7605483146144;-1.41768956293812;-9.07504192590794;5.94967008168165
376;140;328;33;36;-11.5860272167683;-10.4874149281002;-9.28344212377424;-8.00250827831218;-2.28932567914406;-10.8928800362083;-1.4449016667675;-9.13323888717069;5.85368279022891
396;144;349;33;36;-11.7101438444049;-10.6115315557367;-9.40755875141081;-8.05956994147684;-2.29075884549396;-11.0169966638449;-1.46961278987922;-9.16266525838597;6.00177222032604
416;153;367;33;36;-11.8107236961091;-10.4244293349893;-9.32581704632114;-7.97179194577003;-2.31145203228074;-11.1175765155492;-1.47893380156209;-9.11578858961479;5.99231826707869
436;162;390;35;36;-11.9322934782474;-10.5459991171275;-9.44738682845938;-8.10365208175829;-2.30951238442661;-10.5459991171275;-1.49591552934785;-9.20224067471533;6.06033675256365
457;169;414;35;40;-12.0517319476506;-10.6654375865307;-9.56682529786263;-8.24506945788031;-2.28120452237073;-10.6654375865307;-1.47867295108326;-9.32872705996909;5.92794051486858
477;178;431;38;42;-12.1322161802075;-11.0336038915394;-9.82963108721345;-8.41864411350319;-2.29829309105728;-10.7459218190876;-1.45257390812781;-9.50806592013755;5.97345234731688
498;182;446;38;42;-12.2006379040401;-10.8143435429202;-9.71573125425213;-8.41644827012187;-2.29980386896956;-10.8143435429202;-1.48451048645933;-9.51712058873624;6.02873975643798
520;185;461;38;42;-12.2667960859933;-10.8805017248734;-9.7818894362053;-8.39559507508541;-2.28885062253916;-10.8805017248734;-1.48986267407533;-9.51629681594693;6.05699268059603
543;190;477;39;43;-12.3350329817767;-10.9487386206568;-9.85012633198868;-8.46383197086879;-2.28290993010141;-10.9487386206568;-1.5104860852913;-9.61484635606209;6.18602666962873
564;198;504;39;45;-12.4451525361427;-11.0588581750228;-9.96024588635474;-8.53312953071459;-2.26233015264266;-11.0588581750228;-1.53793130121741;-9.70591350001581;6.30320728714266
584;201;514;41;46;-12.4844465309103;-11.3858342422422;-10.1818614379163;-8.67778404114001;-2.25561991474532;-11.0981521697904;-1.54347768971032;-9.83715339300791;6.36951954451751
604;207;535;42;47;-12.564533493792;-11.4659212051239;-10.261948400798;-8.67271319568139;-2.2805568192179;-11.1782391326721;-1.55519326093228;-9.91377447207051;6.44076852371566
624;212;554;42;50;-12.6343293734946;-11.5357170848265;-10.3317442805005;-8.76312836258668;-2.28795248420428;-11.2480350123747;-1.54499734634746;-9.99808704114634;6.4129197897689
644;215;578;42;50;-12.7191477373448;-11.6205354486766;-10.2342410875568;-8.78732210462043;-2.28856758857876;-11.3328533762249;-1.57968012184771;-10.0296539599875;6.48453190749571
