"wine";"volume";"max";"exper"
0.854343079303708;1.37834625e+17;4.12686e+15;-1
0.891432852741382;1.37696554e+17;4.12686e+15;0
0.933881933109855;102236;3226;1
0.931159749781387;111683;4253;2
0.902493364175561;67156;1614;3
0.92295912970069;100856;2655;4
0.903035697630316;60961;1014;5
0.925826557048531;89974;3033;6
0.936957615959473;132735;4340;7
0.928748185141473;98126;2537;8
0.93494202885852;111160;2258;9
0.911599608713905;72035;2915;10
0.930695349294497;99364;5289;11
0.919844789280287;89819;3214;12
0.908102894316534;72653;2842;13
0.91721001860434;97998;3495;14
0.90113952098963;62344;1201;15
0.928846124635999;85917;2894;16
0.934463313952116;101117;6805;17
0.918161078678717;83110;1849;18
0.924335169253367;94868;4169;19
0.917746883436449;74884;2885;20
0.919488918757232;95921;3323;21
0.916079447625084;69993;3354;22
0.921270225684114;79204;2959;23
0.926448358744422;82250;2513;24
0.932047717483637;100255;4088;25
0.923397598834089;104435;4092;26
0.928192136598192;104396;5543;27
0.938404304845962;104471;5771;28
0.916429514826522;83663;2361;29
0.922298350519524;78497;2538;30
