"wine";"volume";"max";"exper"
0.899860150868428;1.654702267265e+18;6.83033e+16;-1
0.925125080069961;1.65304913623e+18;6.83033e+16;0
0.931171129489939;94048;3646;1
0.936017101417513;99849;3445;2
0.930022880777722;80287;4000;3
0.928838978480126;83988;3074;4
0.911168475672507;65943;2680;5
0.922049039715624;77743;2429;6
0.931363901787836;85631;2381;7
0.914774470554785;61023;3199;8
0.913480339482225;65156;4297;9
0.923455579421852;75007;2292;10
0.926256281759191;91692;2511;11
0.912897596571117;74681;4566;12
0.90705802632432;59022;1325;13
0.907485504359388;75366;2039;14
0.934854529710505;97623;2574;15
0.913884266112259;58501;1399;16
0.932164750420217;90378;3336;17
0.93187948069702;94326;4151;18
0.93101726867459;94474;2166;19
0.936043501265273;97375;4308;20
0.93002031267707;81212;2360;21
0.934149747720373;84322;2403;22
0.928196402065279;81450;2564;23
0.941290908943073;121392;5958;24
0.936219187263001;102104;2383;25
0.926855463574154;67604;1748;26
0.927164701425522;87123;2946;27
0.902743886296952;75331;2767;28
0.921742210546574;71884;1628;29
0.910381625695289;64635;2159;30
