"wine";"volume";"max";"exper"
0.899685049475388;1.627802393487e+18;6.44484e+16;-1
0.92850164534648;1.62617644054e+18;6.44484e+16;0
0.92649019420273;72491;2020;1
0.931059407938818;88114;4654;2
0.922421742182494;75736;2639;3
0.925283009483219;85969;2748;4
0.920057413771173;67129;1622;5
0.911974227126187;71236;2878;6
0.917434516716627;65015;2207;7
0.910981629191937;61596;1678;8
0.918029640330047;63376;1901;9
0.92098007110214;71674;3333;10
0.912979094740082;75860;3602;11
0.939702014949443;103122;4400;12
0.937401925722246;88215;4176;13
0.907095103094659;56535;1638;14
0.920015989663827;76003;1885;15
0.911127499236978;57289;2585;16
0.912281635522373;64990;1970;17
0.915202502421006;58607;1224;18
0.905874069246464;57090;1827;19
0.935930567573092;96039;2472;20
0.913731120055386;77718;2403;21
0.916697152552455;65438;1295;22
0.913519187738529;67051;3606;23
0.92853755860721;76477;3324;24
0.918385624762161;73844;2834;25
0.928000646947055;89184;1991;26
0.926086067056142;77566;2215;27
0.919655557392273;85607;2170;28
0.930195124442984;81054;5292;29
0.932197312999031;96288;3320;30
