"wine";"volume";"max";"exper"
0.859372722550646;1.573510692e+18;5.23914e+16;-1
0.907624025256694;1.571938322e+18;5.23914e+16;0
0.921066981553986;78363;3235;1
0.932412255295895;106794;4135;2
0.9213344939684;81780;3362;3
0.924997091128125;77368;3395;4
0.927972646304616;74133;1705;5
0.922750596631493;75240;2248;6
0.928580434884063;97150;3526;7
0.927916992577344;79462;3528;8
0.91723755500473;80810;3129;9
0.937377598812318;96125;3350;10
0.898252763106035;52496;2109;11
0.923002723667317;92147;2554;12
0.923534990865284;75701;2330;13
0.918259411204769;62023;1601;14
0.930590994952864;78974;1966;15
0.916350765294446;78084;1726;16
0.905214704755185;67372;1432;17
0.911759081068904;78352;4656;18
0.93393898408873;97319;3210;19
0.9299477181598;76541;4939;20
0.934884681819582;94771;4085;21
0.914898815983507;69971;1527;22
0.919524200240465;76433;1296;23
0.926196220204825;83303;3676;24
0.924974752026234;76859;1825;25
0.927355454810156;97610;6046;26
0.934432789493567;93689;4371;27
0.930936859558168;82139;1905;28
0.917839084476889;67013;1617;29
0.9187439497171;74151;3248;30
