"wine";"volume";"max";"exper"
0.848675564734161;5.439333937987e+18;2.01464e+17;-1
0.885078267825879;5.43389511308e+18;2.01464e+17;0
0.940782789581149;211461;13427;1
0.93486547360101;225979;6961;2
0.934084228446156;227041;6345;3
0.932302085584632;205662;5913;4
0.939996691582906;243159;6120;5
0.950797362069189;301978;20134;6
0.959713255541097;387090;19441;7
0.934843897374754;198583;9841;8
0.942895841239948;250712;7862;9
0.939304208388085;240405;14913;10
0.938261699942168;235545;10673;11
0.953410679946487;357291;12274;12
0.93925188632322;219158;5579;13
0.958985523003165;497511;20132;14
0.946900055438524;298632;8211;15
0.92855348281754;198421;5219;16
0.946609580394038;277375;12558;17
0.941778400611195;255829;8424;18
0.944792896591647;243540;8377;19
0.929168031879805;169857;2993;20
0.94144169642614;243358;10882;21
0.942613092385575;320956;14927;22
0.944993359234068;248941;9827;23
0.928962566624131;198904;3199;24
0.94919781005687;286835;17948;25
0.947332290676265;267480;8251;26
0.928323919601063;249015;4133;27
0.939510315308604;223063;5736;28
0.939143715382754;259340;11457;29
0.942684409928234;273220;7209;30
