"wine";"volume";"max";"exper"
0.828660460158239;3.76681569e+17;1.4116e+16;-1
0.860465071007971;3.76304282e+17;1.4116e+16;0
0.955511022612957;275609;23389;1
0.940590462347792;209623;15040;2
0.960654724893265;378922;35917;3
0.956133385655656;309698;27248;4
0.94515666118615;242213;8809;5
0.961588150208162;478321;24744;6
0.950196731620851;269419;14991;7
0.953024971982683;289114;11925;8
0.945183806958894;210676;11406;9
0.959543484188969;359031;20444;10
0.947272595439392;207908;10201;11
0.970684049934093;379907;50103;12
0.953405167871596;305843;15306;13
0.946194694747803;248042;18136;14
0.950205211513578;291896;22759;15
0.954102031441397;356220;12267;16
0.946990915918751;273382;6606;17
0.951865105173865;301236;13235;18
0.961217941008485;409674;19646;19
0.958723045912385;326699;24037;20
0.950977013018577;341675;8699;21
0.960513510549037;425824;31531;22
0.962432378251574;305176;34193;23
0.955405666831712;317390;11162;24
0.952671137813132;269851;12909;25
0.971022637505442;453965;49841;26
0.948608980765874;242782;9034;27
0.943934883827465;202609;8418;28
0.962146901199788;338739;26927;29
0.948341674169011;273998;9303;30
