"wine";"volume";"max";"exper"
0.845806138640205;1.90268425e+17;6.59942e+15;-1
0.878394316469194;1.90078012e+17;6.59942e+15;0
0.917529775450265;95635;1670;1
0.936776298497081;150360;8075;2
0.921266140238423;109873;7709;3
0.917951448896779;95822;4658;4
0.922682090164995;99328;3193;5
0.936520369162815;132190;3568;6
0.931377005465497;107147;2835;7
0.927158228669201;123110;4229;8
0.913277149343893;90946;3156;9
0.91054369711572;87654;2252;10
0.933558644211945;136637;3882;11
0.931232499982479;117220;4575;12
0.926972784096293;130716;3129;13
0.940438448885525;144020;8903;14
0.919755724865192;99155;3277;15
0.923412288749539;108190;2119;16
0.926109375194975;135223;3227;17
0.919702089627392;82768;2312;18
0.914087532960511;103461;2357;19
0.929309650822022;115236;4082;20
0.931965944436287;116230;4875;21
0.925670486899779;97313;3351;22
0.938485221964321;184745;7926;23
0.934683242977383;111346;3848;24
0.935281354786181;151672;7252;25
0.93100876305487;133906;4753;26
0.915697913729186;93284;2919;27
0.929250100875131;129851;4680;28
0.935762591487013;127385;5830;29
0.929518629794246;109973;2956;30
