"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149"
"38",0,0,1858310470769.6,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",22299725649235.1,33449588473852.7,85482281655401.4,55749314123087.9,48316072240009.5,0,35307898944622.3,20441415178465.6,1858310470769.6,11149862824617.6,13008173295387.2,5574931412308.79,0,3716620941539.19,3716620941539.19,0,1858310470769.6,1858310470769.6,3716620941539.19,1858310470769.6,1858310470769.6,0,5574931412308.79,7433241883078.38,0,1858310470769.6,0,1858310470769.6,3716620941539.19,3716620941539.19,0,3716620941539.19,7433241883078.38,3716620941539.19,11149862824617.6,5574931412308.79,1858310470769.6,1858310470769.6,1858310470769.6,0,5574931412308.79,1858310470769.6,0,0,0,0,3716620941539.19,0,5574931412308.79,0,1858310470769.6,0,0,3716620941539.19,1858310470769.6,0,0,1858310470769.6,0,1858310470769.6,0,0,0,0,0,0,1858310470769.6,0,0,3716620941539.19,0,0,0,1858310470769.6,0,0,0,3716620941539.19,0,0,0,0,0,0,0,0,0,0,3716620941539.19,0,0,1858310470769.6,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,1858310470769.6,0
"40",26016346590774.3,24158036120004.7,105923696833867,79907350243092.6,29732967532313.5,5574931412308.79,33449588473852.7,26016346590774.3,9291552353847.98,3716620941539.19,18583104707696,11149862824617.6,0,0,3716620941539.19,1858310470769.6,3716620941539.19,13008173295387.2,3716620941539.19,1858310470769.6,3716620941539.19,0,0,3716620941539.19,0,0,1858310470769.6,0,1858310470769.6,0,3716620941539.19,5574931412308.79,5574931412308.79,3716620941539.19,1858310470769.6,5574931412308.79,0,5574931412308.79,0,0,9291552353847.98,5574931412308.79,1858310470769.6,0,0,0,7433241883078.38,0,1858310470769.6,0,5574931412308.79,1858310470769.6,0,0,0,5574931412308.79,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,3716620941539.19,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",46457761769239.9,98490454950788.6,273171639203131,193264288960038,89198902596940.6,16724794236926.4,89198902596940.6,53891003652318.3,48316072240009.5,11149862824617.6,29732967532313.5,13008173295387.2,11149862824617.6,5574931412308.79,9291552353847.98,7433241883078.38,5574931412308.79,18583104707696,11149862824617.6,11149862824617.6,5574931412308.79,1858310470769.6,24158036120004.7,27874657061543.9,0,1858310470769.6,0,1858310470769.6,0,5574931412308.79,3716620941539.19,3716620941539.19,11149862824617.6,5574931412308.79,13008173295387.2,9291552353847.98,1858310470769.6,7433241883078.38,5574931412308.79,5574931412308.79,24158036120004.7,11149862824617.6,0,1858310470769.6,1858310470769.6,5574931412308.79,11149862824617.6,11149862824617.6,11149862824617.6,3716620941539.19,1858310470769.6,1858310470769.6,0,1858310470769.6,1858310470769.6,0,0,1858310470769.6,1858310470769.6,0,1858310470769.6,1858310470769.6,5574931412308.79,0,0,3716620941539.19,3716620941539.19,0,0,3716620941539.19,3716620941539.19,0,0,0,1858310470769.6,5574931412308.79,1858310470769.6,1858310470769.6,0,0,0,3716620941539.19,3716620941539.19,1858310470769.6,0,0,0,0,1858310470769.6,0,1858310470769.6,0,0,0,0,1858310470769.6,1858310470769.6,0,0,0,1858310470769.6,1858310470769.6,0,0,5574931412308.79,0,1858310470769.6,1858310470769.6,0,0,0,0,0,0,0,0,0,0,1858310470769.6,1858310470769.6,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,1858310470769.6,1858310470769.6,1858310470769.6,0,0,0,0,1858310470769.6,0,0,0,0,0,0
"42",44599451298470.3,85482281655401.4,193264288960038,133798353895411,61324245535396.7,7433241883078.38,53891003652318.3,53891003652318.3,33449588473852.7,7433241883078.38,22299725649235.1,11149862824617.6,1858310470769.6,5574931412308.79,14866483766156.8,0,0,9291552353847.98,14866483766156.8,0,0,3716620941539.19,9291552353847.98,5574931412308.79,0,0,3716620941539.19,3716620941539.19,0,1858310470769.6,7433241883078.38,0,5574931412308.79,3716620941539.19,9291552353847.98,5574931412308.79,0,1858310470769.6,1858310470769.6,5574931412308.79,9291552353847.98,5574931412308.79,1858310470769.6,1858310470769.6,3716620941539.19,0,11149862824617.6,3716620941539.19,11149862824617.6,0,1858310470769.6,0,1858310470769.6,1858310470769.6,0,3716620941539.19,0,0,1858310470769.6,0,0,0,7433241883078.38,3716620941539.19,0,1858310470769.6,0,0,0,1858310470769.6,1858310470769.6,0,0,1858310470769.6,0,1858310470769.6,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,3716620941539.19,0,0,1858310470769.6,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",1858310470769.6,13008173295387.2,5574931412308.79,13008173295387.2,5574931412308.79,1858310470769.6,5574931412308.79,0,1858310470769.6,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,1858310470769.6,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",11149862824617.6,50174382710779.1,76190729301553.4,39024519886161.5,24158036120004.7,11149862824617.6,20441415178465.6,27874657061543.9,9291552353847.98,3716620941539.19,3716620941539.19,1858310470769.6,1858310470769.6,0,5574931412308.79,0,1858310470769.6,3716620941539.19,1858310470769.6,1858310470769.6,0,1858310470769.6,5574931412308.79,1858310470769.6,0,0,0,0,0,1858310470769.6,1858310470769.6,3716620941539.19,3716620941539.19,0,0,0,3716620941539.19,3716620941539.19,0,0,7433241883078.38,1858310470769.6,0,0,0,0,7433241883078.38,1858310470769.6,0,0,0,1858310470769.6,0,1858310470769.6,1858310470769.6,1858310470769.6,0,0,0,3716620941539.19,0,0,0,0,0,0,1858310470769.6,1858310470769.6,0,0,0,0,0,0,0,0,0,1858310470769.6,1858310470769.6,1858310470769.6,0,0,1858310470769.6,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,1858310470769.6,1858310470769.6,0,0,0,0,0,0
"45",9291552353847.98,35307898944622.3,42741140827700.7,33449588473852.7,14866483766156.8,1858310470769.6,20441415178465.6,7433241883078.38,11149862824617.6,3716620941539.19,1858310470769.6,0,0,0,0,1858310470769.6,0,1858310470769.6,1858310470769.6,0,0,0,5574931412308.79,0,0,0,0,3716620941539.19,0,0,1858310470769.6,0,0,1858310470769.6,1858310470769.6,0,1858310470769.6,1858310470769.6,1858310470769.6,0,1858310470769.6,0,0,0,1858310470769.6,0,3716620941539.19,0,3716620941539.19,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,1858310470769.6,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",11149862824617.6,29732967532313.5,53891003652318.3,42741140827700.7,24158036120004.7,1858310470769.6,18583104707696,22299725649235.1,11149862824617.6,5574931412308.79,1858310470769.6,5574931412308.79,3716620941539.19,0,5574931412308.79,0,0,5574931412308.79,5574931412308.79,0,0,1858310470769.6,3716620941539.19,3716620941539.19,0,1858310470769.6,1858310470769.6,0,0,1858310470769.6,0,0,7433241883078.38,1858310470769.6,3716620941539.19,3716620941539.19,1858310470769.6,0,0,0,3716620941539.19,5574931412308.79,0,0,0,1858310470769.6,0,0,3716620941539.19,1858310470769.6,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,3716620941539.19,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",22299725649235.1,22299725649235.1,65040866476935.9,65040866476935.9,24158036120004.7,5574931412308.79,24158036120004.7,11149862824617.6,11149862824617.6,1858310470769.6,9291552353847.98,7433241883078.38,0,0,3716620941539.19,0,3716620941539.19,5574931412308.79,0,1858310470769.6,1858310470769.6,0,5574931412308.79,5574931412308.79,0,3716620941539.19,0,0,0,1858310470769.6,0,1858310470769.6,1858310470769.6,1858310470769.6,9291552353847.98,1858310470769.6,1858310470769.6,5574931412308.79,1858310470769.6,0,1858310470769.6,0,0,0,0,0,0,1858310470769.6,1858310470769.6,1858310470769.6,1858310470769.6,0,0,0,0,0,0,0,1858310470769.6,0,1858310470769.6,0,1858310470769.6,0,0,7433241883078.38,0,0,0,1858310470769.6,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858310470769.6,0,0,0,0,0,0,0,0,0,0,0,0,0
